rank,corpus_lemma,count,per_million,source_id
181,а-гәа́ла·шәа-ра,6541,606.6,SRC-010
182,а-зҵаа́ра,6500,602.8,SRC-010
183,а́-мҩаҧ·га-ра,6496,602.4,SRC-010
184,а́-лаҧш,6457,598.8,SRC-010
185,а-ҿы́на·ха-ра,6455,598.6,SRC-010
186,а-ҧа́,6434,596.7,SRC-010
187,а́-жәҩан,6431,596.4,SRC-010
188,а-р:га-ра́,6419,595.3,SRC-010
189,а-ны́-заа-ра,6382,591.9,SRC-010
190,а-з·ҵаа-ра́,6378,591.5,SRC-010
191,бзи́а,6290,583.3,SRC-010
192,а́-л·ҵ-ра,6263,580.8,SRC-010
193,а́шҭа,6241,578.8,SRC-010
194,а-гәа́·ҭа-ра,6239,578.6,SRC-010
195,а-ҧы́·ла-ра,6213,576.2,SRC-010
196,да́ара,6165,571.7,SRC-010
197,а́-шьҭа,6142,569.6,SRC-010
198,ҩы́џьа,6142,569.6,SRC-010
199,а́-хәа-ра,6099,565.6,SRC-010
200,а́мала,6075,563.4,SRC-010
201,а́-л·га-ра,6061,562.1,SRC-010
202,а-на́·га-ра,6042,560.3,SRC-010
203,егьы́рҭ,6038,560.0,SRC-010
204,а́-қә·гыла-ра,6003,556.7,SRC-010
205,а́-ха-ра,5984,555.0,SRC-010
206,а-бызшәа́,5880,545.3,SRC-010
207,аба́рҭ,5879,545.2,SRC-010
208,а-ҭа́к,5837,541.3,SRC-010
209,са́,5814,539.2,SRC-010
210,а́ан·ха-ра,5798,537.7,SRC-010
211,а-ха·ҵа-ра́,5795,537.4,SRC-010
212,а-ҿы́ц,5763,534.5,SRC-010
213,а́-ҧшаа-ра,5753,533.5,SRC-010
214,а́-хә,5744,532.7,SRC-010
215,а́-на·гӡа-ра,5742,532.5,SRC-010
216,а́-жә-ра,5739,532.2,SRC-010
217,а́-р,5726,531.0,SRC-010
218,а́-шьҭа·ла-ра,5723,530.8,SRC-010
219,а-хаҵа́,5710,529.5,SRC-010
220,уа́хь,5693,528.0,SRC-010
221,насгьы́,5688,527.5,SRC-010
222,а-цәа-ра́,5663,525.2,SRC-010
223,а-хәы́,5650,524.0,SRC-010
224,уажәшьҭа́,5642,523.2,SRC-010
225,абра́,5595,518.9,SRC-010
226,а́-шҟа,5575,517.0,SRC-010
227,а-хы́·ҵ-ра,5560,515.6,SRC-010
228,а-х·га-ра́,5549,514.6,SRC-010
229,а-хын·ҳә-ра́,5531,512.9,SRC-010
230,а́-ӡҕаб,5502,510.3,SRC-010
231,а-р:гы́ла-ра,5491,509.2,SRC-010
232,а́-ц-заа-ра,5477,507.9,SRC-010
233,а́-ӡбахә,5451,505.5,SRC-010
234,а́а·р:т-ра,5442,504.7,SRC-010
235,а-ҽны́,5434,503.9,SRC-010
236,макьа́на,5412,501.9,SRC-010
237,а́-ла·цәажәа-ра,5399,500.7,SRC-010
238,ас,5395,500.3,SRC-010
239,а́-мра,5389,499.8,SRC-010
240,а́-шьха,5333,494.6,SRC-010
241,а́-сас,5287,490.3,SRC-010
242,а́рҧыс,5254,487.3,SRC-010
243,шьҭа,5239,485.9,SRC-010
244,а́-цәа,5229,484.9,SRC-010
245,а́аигәа,5217,483.8,SRC-010
246,а́-цәа-ра,5197,482.0,SRC-010
247,а-шко́л,5167,479.2,SRC-010
248,ха́ла,5142,476.9,SRC-010
249,а-ҟы́нӡа,5116,474.5,SRC-010
250,а-жә-ра́,5113,474.2,SRC-010
251,зны,5097,472.7,SRC-010
252,а́-ҳәа-ра,5093,472.3,SRC-010
253,а́иҕь,5046,468.0,SRC-010
254,а-дәы́л·ҵ-ра,5019,465.5,SRC-010
255,а́-ҧшәма,5009,464.5,SRC-010
256,а́-ӡба-ра,4997,463.4,SRC-010
257,аҕа́,4994,463.1,SRC-010
258,а-иа́аи-ра,4939,458.0,SRC-010
259,а́-ҧхьаӡа-ра,4934,457.6,SRC-010
260,азгәа́·ҭа-ра,4896,454.1,SRC-010
261,а-з·гәа́·ҭа-ра,4895,454.0,SRC-010
262,а-ҧса́дгьыл,4891,453.6,SRC-010
263,а́ҟара,4881,452.7,SRC-010
264,а-ҭагылаза́ашьа,4855,450.3,SRC-010
265,а́а·р:ҧш-ра,4826,447.6,SRC-010
266,а́-ц·ҵа-ра,4808,445.9,SRC-010
267,а-тәы́-заа-ра,4801,445.2,SRC-010
268,а-ҵара́,4800,445.2,SRC-010
269,иара́знак,4782,443.5,SRC-010
270,а́иза-ра,4768,442.2,SRC-010
271,а́жәабжь,4752,440.7,SRC-010
272,иа́рбан,4742,439.8,SRC-010
273,еиҳа́,4703,436.2,SRC-010
274,а́-ҕәҕәа,4689,434.9,SRC-010
275,а-тәы́ла,4684,434.4,SRC-010
276,а-ма́ҷ,4663,432.4,SRC-010
277,а-ҳәа́,4650,431.2,SRC-010
278,а́зҵаа-ра,4623,428.7,SRC-010
279,а-гәа·ҧха-ра́,4613,427.8,SRC-010
280,а-шьа-ра́,4593,426.0,SRC-010
281,а́-ҵла,4592,425.9,SRC-010
282,а́-ла·ҵа-ра,4591,425.8,SRC-010
283,а́-хара,4547,421.7,SRC-010
284,шаҟа́,4466,414.2,SRC-010
285,а́-ла·ла-ра,4464,414.0,SRC-010
286,а-ҩы́,4449,412.6,SRC-010
287,а-цә·шәа-ра́,4437,411.5,SRC-010
288,а-гәа́шә,4431,410.9,SRC-010
289,зынӡа́,4427,410.6,SRC-010
290,а́шәа,4425,410.4,SRC-010
291,а́-м·х-ра,4412,409.2,SRC-010
292,а-шьа́,4409,408.9,SRC-010
293,а́-цхраа-ра,4407,408.7,SRC-010
294,а́-цәгьа,4403,408.3,SRC-010
295,у́сгьы,4395,407.6,SRC-010
296,а́-шьа,4384,406.6,SRC-010
297,а-ҵаа-ра́,4375,405.7,SRC-010
298,а-хәа-ра́,4363,404.6,SRC-010
299,маца́ра,4360,404.3,SRC-010
300,а́аи,4356,404.0,SRC-010
301,аба́р,4355,403.9,SRC-010
302,а́-р-ра,4354,403.8,SRC-010
303,а-хь·ӡа-ра́,4346,403.0,SRC-010
304,а́-ҩа·гыла-ра,4346,403.0,SRC-010
305,а-џьа·шьа-ра́,4321,400.7,SRC-010
306,а-з·иа-заа-ра́,4313,400.0,SRC-010
307,а-га́н,4292,398.0,SRC-010
308,а́-ҵа·к-ра,4270,396.0,SRC-010
309,а-ха́-заа-ра,4259,395.0,SRC-010
310,а-ҧҳа́,4245,393.7,SRC-010
311,иаҳа́,4245,393.7,SRC-010
312,Аҟәа,4242,393.4,SRC-010
313,а́иҳа,4229,392.2,SRC-010
314,а-лы́мҳа,4211,390.5,SRC-010
315,а-қы́рҭуа,4210,390.4,SRC-010
316,а-ҩны́ҟа,4205,390.0,SRC-010
317,а-з·к-заа-ра́,4192,388.8,SRC-010
318,а-з·кы-заа-ра́,4190,388.6,SRC-010
319,ани́,4183,387.9,SRC-010
320,а-цәы́р·га-ра,4173,387.0,SRC-010
321,а-хьаа́,4153,385.1,SRC-010
322,уа́ҟа,4148,384.7,SRC-010
323,а-н·ҵа-ра́,4095,379.8,SRC-010
324,а́-иаҳәшьа,4093,379.6,SRC-010
325,егьи́,4085,378.8,SRC-010
326,а́-хьча-ра,4080,378.4,SRC-010
327,изба́нзар,4080,378.4,SRC-010
328,а́ан,4059,376.4,SRC-010
329,а́-қә·к-ра,4056,376.2,SRC-010
330,а́бџьар,4046,375.2,SRC-010
331,а́-иа·с-ра,4025,373.3,SRC-010
332,а́-уа,4014,372.3,SRC-010
333,а́иҧш-ра,4008,371.7,SRC-010
334,а-џь·шьа-ра́,3984,369.5,SRC-010
335,а́-чҳа-ра,3970,368.2,SRC-010
